"RECORD #(ITEM)","CALL #","100|a"
"i118869747","[PB] ROMANCE M","Mallory, Margaret,"
"i122255884","[PB] ROMANCE H","Higgins, Kristan."
"i126593917","[PB] ROMANCE E","Essex, Elizabeth."
"i127675425","[PB] ROMANCE C","Campbell, Anna."
"i127712562","[PB] ROMANCE B","Burrowes, Grace."
"i12855907x","[PB] ROMANCE B","Burrowes, Grace,"
"i130296624","[PB] ROMANCE B","Boyle, Elizabeth."
"i130815986","[PB] ROMANCE C","Camp, Candace."
"i131080337","[PB] ROMANCE S","Solheim, Tracy."
"i132539652","[PB] ROMANCE A","Alers, Rochelle."
"i132799741","[PB] ROMANCE R","Ranney, Karen."
"i133073361","[PB] ROMANCE B","Burrowes, Grace."
"i133097006","[PB] ROMANCE J","Jordan, Sophie."
"i133097055","[PB] ROMANCE B","Beverley, Jo,"
"i13321543x","[PB] ROMANCE L","Lin, Jeannie."
"i13325625x","[PB] ROMANCE A","Ashe, Katharine,"
"i133386855","[PB] ROMANCE R","Roberts, Victoria."
"i134308074","[PB] ROMANCE H","Hoyt, Elizabeth,"
"i134308128","[PB] ROMANCE S","Showalter, Gena,"
"i135809289","[PB] ROMANCE A","Anderson, Catherine"
"i136074613","[PB] ROMANCE D","Dare, Tessa,"
"i136849520","[PB] ROMANCE L","Long, Julie Anne"
"i137353194","[PB] ROMANCE R","Romain, Theresa."
"i13782175x","[PB] ROMANCE R","Roberts, Nora."
"i137908945","[PB] ROMANCE R","Ranney, Karen."
"i138402875","[PB] ROMANCE C","Conkle, Gina,"
"i138839633","[PB] ROMANCE A","Ashe, Katharine,"
"i139142794","[PB] ROMANCE C","Chapman, Janet,"
"i139142848","[PB] ROMANCE M","McCarty, Monica."
"i139241310","[PB] ROMANCE R","Roberts, Victoria"
"i139906034","[PB] ROMANCE S","Southwick, Teresa."
"i139906393","[PB] ROMANCE R","Rodale, Maya."
"i140893738","[PB] ROMANCE M","Macomber, Debbie,"
"i141093663","[PB] ROMANCE I","Ione, Larissa,"
"i141093675","[PB] ROMANCE B","Bowen, Kelly,"
"i141093705","[PB] ROMANCE A","Ashley, Kristen,"
"i142645266","[PB] ROMANCE L","Long, Julie Anne"
"i143096655","[PB] ROMANCE M","Morgan, Sarah,"
"i143426138","[PB] ROMANCE W","Woods, Sherryl."
"i14342631x","[PB] ROMANCE L","Laurens, Stephanie,"
"i143426345","[PB] ROMANCE E","Elliott, Cara,"
"i143664414","[PB] ROMANCE S","Sala, Sharon."
"i143897317","[PB] ROMANCE E","Elliott, Cara,"
"i14389741x","[PB] ROMANCE S","Shupe, Joanna,"
"i144425464","[PB] ROMANCE K","Knightley, Erin,"
"i144425750","[PB] ROMANCE S","Stewart, Mariah,"
"i146272067","[PB] ROMANCE C","Castille, Sarah,"
"i146492286","[PB] ROMANCE S","Sala, Sharon,"
"i146492341","[PB] ROMANCE A","Andersen, Susan,"
"i14649247x","[PB] ROMANCE H","Humphreys, Sara,"
"i146492523","[PB] ROMANCE D","Dare, Tessa,"
"i146492997","[PB] ROMANCE P","Putney, Mary Jo."
"i14657803x","[PB] ROMANCE F","Forester, Amanda,"
"i146588022","[PB] ROMANCE B","Balogh, Mary,"
"i147003842","[PB] ROMANCE T","Thayne, RaeAnne."
"i147110415","[PB] ROMANCE B","Burrowes, Grace,"
"i147485885","[PB] ROMANCE R","Roberts, Sheila,"
"i147518507","[PB] ROMANCE B","Burrowes, Grace,"
"i147753533","[PB] ROMANCE H","Heath, Lorraine,"
"i147998025","[PB] ROMANCE H","Hoyt, Elizabeth,"
"i147998050","[PB] ROMANCE H","Harrington, Anna."
"i148078023","[PB] ROMANCE H","Hayley, Elizabeth."
"i148112699","[PB] ROMANCE M","McQuiston, Jennifer."
"i148454082","[PB] ROMANCE S","Shalvis, Jill,"
"i148592818","[PB] ROMANCE F","Fresina, Jayne,"
"i148592971","[PB] ROMANCE B","Booth, Karen"
"i148608048","[PB] ROMANCE M","MacLean, Sarah,"
"i148608061","[PB] ROMANCE A","Ashford, Jane,"
"i148813860","[PB] ROMANCE C","Camp, Candace."
"i148927506","[PB] ROMANCE L","London, Julia,"
"i148940201","[PB] ROMANCE G","Goodnight, Linda,"
"i149074645","[PB] ROMANCE B","Burrowes, Grace,"
"i14907492x","[PB] ROMANCE J","Jordan, Nicole,"
"i149099034","[PB] ROMANCE J","Jenkins, Beverly,"
"i149530195","[PB] ROMANCE A","Ashe, Katharine,"
"i149912481","[PB] ROMANCE C","Chase, Samantha,"
"i150039116","[PB] ROMANCE L","Layne, Lauren,"
"i150543694","[PB] ROMANCE B","Balogh, Mary,"
"i150543839","[PB] ROMANCE L","Laurens, Stephanie,"
"i15113361x","[PB] ROMANCE H","Hoyt, Elizabeth,"
"i151284611","[PB] ROMANCE K","Kleypas, Lisa,"
"i152008263","[PB] ROMANCE G","Gracie, Anne."
"i152008305","[PB] ROMANCE C","Chase, Samantha."
"i15200919x","[PB] ROMANCE R","Rodale, Maya,"
"i152009243","[PB] ROMANCE S","Sands, Lynsay,"
"i152009358","[PB] ROMANCE S","Shalvis, Jill,"
"i152009383","[PB] ROMANCE T","Thayne, RaeAnne,"
"i152401957","[PB] ROMANCE W","Woods, Sherryl,"
"i152402068","[PB] ROMANCE C","Castle, Jayne,"
"i153087845","[PB] ROMANCE M","MacLean, Sarah,"
"i153091320","[PB] ROMANCE A","Ashford, Jane,"
"i153553662","[PB] ROMANCE D","Dare, Tessa,"
"i154164598","[PB] ROMANCE J","Jordan, Sophie."
"i154637580","[PB] ROMANCE H","Heath, Lorraine."
"i154781332","[PB] ROMANCE M","MacLean, Sarah."
"i154781344","[PB] ROMANCE M","Macomber, Debbie,"
"i155093174","[PB] ROMANCE A","Ashford, Jane,"
"i156170358","[PB] ROMANCE B","Bowen, Kelly"
"i156193267","[PB] ROMANCE D","Duran, Meredith,"
"i156551743","[PB] ROMANCE S","Sebastian, Cat,"
"i157157866","[PB] ROMANCE A","Ashford, Jane,"
"i157230387","[PB] ROMANCE G","Gracie, Anne,"
"i15723051x","[PB] ROMANCE K","Kaye, Laura,"
"i157426749","[PB] ROMANCE A","Andrews, Ilona,"
"i157426890","[PB] ROMANCE H","Hunter, Madeline,"
"i157427134","[PB] ROMANCE L","Leigh, Eva,"
"i157427171","[PB] ROMANCE N","Novak, Brenda."
"i158245271","[PB] ROMANCE T","Thomas, Jodi,"
"i15831685x","[PB] ROMANCE M","MacLean, Sarah,"
"i158316915","[PB] ROMANCE C","Collins, Manda,"
"i158321546","[PB] ROMANCE T","Thayne, RaeAnne,"
"i158321595","[PB] ROMANCE K","Kelly, Vanessa,"
"i158321613","[PB] ROMANCE B","Barnes, Sophie"
"i158688855","[PB] ROMANCE V","Van Dyken, Rachel,"
"i159072037","[PB] ROMANCE M","Morgan, Sarah,"
"i159339091","[PB] ROMANCE T","Thayne, RaeAnne,"
"i159339236","[PB] ROMANCE H","Howell, Hannah,"
"i159946591","[PB] ROMANCE W","Wilson, C.L.,"
"i160283681","[PB] ROMANCE B","Bowman, Valerie,"
"i160624198","[PB] ROMANCE R","Rai, Alisha,"
"i16062440x","[PB] ROMANCE C","Chase, Loretta Lynda,"
"i160624447","[PB] ROMANCE K","Krahn, Betina M.,"
